FILE,audio,video,bb,audio_begin_time,audio_end_time,video_begin_time,video_end_time,bb_begin_time,bb_end_time,sessionID,part,trial,pcn,concept,correction
1_2_rein_trial_20_p0_fluisteren_gebaren_c1_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_20_Mic_nominal_srate16000_p0_fluisteren_gebaren_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_20_MyWebcamFrameStream_nominal_srate500_p0_fluisteren_gebaren_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\1_2_rein_trial_20_BalanceBoard_stream_nominal_srate100_p0_fluisteren_gebaren_c1_cut4.csv,14360.199717514162,14367.23737769954,14360.171740441674,14367.20661713853,14360.145221026263,14367.177111968922,1_2_rein,2,20,p0,fluisteren,c1
7_2_trial_24_p1_kind_gebaren_c1_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\7_2_trial_24_Mic_nominal_srate16000_p1_kind_gebaren_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\7_2_trial_24_MyWebcamFrameStream_nominal_srate500_p1_kind_gebaren_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\7_2_trial_24_BalanceBoard_stream_nominal_srate100_p1_kind_gebaren_c1_cut4.csv,12046.22195396897,12052.704078455385,12046.19740004093,12052.674182217968,12046.151774075415,12052.628028728015,7_2,2,24,p1,kind,c1
8_2_trial_76_p0_verdrietig_geluiden_c1_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\8_2_trial_76_Mic_nominal_srate16000_p0_verdrietig_geluiden_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\8_2_trial_76_MyWebcamFrameStream_nominal_srate500_p0_verdrietig_geluiden_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\8_2_trial_76_BalanceBoard_stream_nominal_srate100_p0_verdrietig_geluiden_c1_cut4.csv,5637.950962204224,5643.164582269063,5637.924491672667,5643.130475535977,5637.85479968204,5643.065908088703,8_2,2,76,p0,verdrietig,c1
9_2_trial_89_p0_vlieg_gebaren_c2_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\9_2_trial_89_Mic_nominal_srate16000_p0_vlieg_gebaren_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\9_2_trial_89_MyWebcamFrameStream_nominal_srate500_p0_vlieg_gebaren_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\9_2_trial_89_BalanceBoard_stream_nominal_srate100_p0_vlieg_gebaren_c2_cut4.csv,5996.4800989767455,6001.248744504553,5996.454779035213,6001.218276048953,5996.378623056932,6001.139931429348,9_2,2,89,p0,vlieg,c2
10_2_trial_91_p1_berg_geluiden_c1_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\10_2_trial_91_Mic_nominal_srate16000_p1_berg_geluiden_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\10_2_trial_91_MyWebcamFrameStream_nominal_srate500_p1_berg_geluiden_c1_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\10_2_trial_91_BalanceBoard_stream_nominal_srate100_p1_berg_geluiden_c1_cut4.csv,13730.974431250632,13736.674086562902,13730.955641419552,13736.649594362592,13730.872788947272,13736.566192682234,10_2,2,91,p1,berg,c1
11_1_trial_21_p0_zwaar_gebaren_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_21_Mic_nominal_srate16000_p0_zwaar_gebaren_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_21_MyWebcamFrameStream_nominal_srate500_p0_zwaar_gebaren_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_21_BalanceBoard_stream_nominal_srate100_p0_zwaar_gebaren_cut4.csv,4518.599134520831,4523.868249083578,4518.574068004877,4523.839617419391,4518.5714766184265,4523.83572297664,11_1,1,21,p0,zwaar,
11_1_trial_2_p0_hond_combinatie_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_2_Mic_nominal_srate16000_p0_hond_combinatie_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_2_MyWebcamFrameStream_nominal_srate500_p0_hond_combinatie_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\11_1_trial_2_BalanceBoard_stream_nominal_srate100_p0_hond_combinatie_cut4.csv,4064.7413305096416,4068.3922001667815,4064.718255203188,4068.364476379793,4064.715263333395,4068.3599482732943,11_1,1,2,p0,hond,
12_2_trial_81_p1_kotsen_geluiden_c2_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\12_2_trial_81_Mic_nominal_srate16000_p1_kotsen_geluiden_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\12_2_trial_81_MyWebcamFrameStream_nominal_srate500_p1_kotsen_geluiden_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\12_2_trial_81_BalanceBoard_stream_nominal_srate100_p1_kotsen_geluiden_c2_cut4.csv,6295.601757390549,6301.082636979319,6295.57839535558,6301.049285038706,6295.4897134460325,6300.952028214659,12_2,2,81,p1,kotsen,c2
14_1_trial_2_p0_kind_combinatie_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\14_1_trial_2_Mic_nominal_srate16000_p0_kind_combinatie_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\14_1_trial_2_MyWebcamFrameStream_nominal_srate500_p0_kind_combinatie_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\14_1_trial_2_BalanceBoard_stream_nominal_srate100_p0_kind_combinatie_cut4.csv,5580.397703212278,5584.024619496253,5580.37474354892,5583.997927251679,5580.341702849286,5583.962089759118,14_1,1,2,p0,kind,
15_2_trial_103_p1_piepen_gebaren_c2_cut4_final.avi,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\15_2_trial_103_Mic_nominal_srate16000_p1_piepen_gebaren_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\15_2_trial_103_MyWebcamFrameStream_nominal_srate500_p1_piepen_gebaren_c2_cut4.csv,f:\flesh_data_processed\01_XDF_processing/data/Data_processed/Data_trials\15_2_trial_103_BalanceBoard_stream_nominal_srate100_p1_piepen_gebaren_c2_cut4.csv,6431.394674299724,6439.84426831372,6431.3628373673,6439.820932960921,6431.356743463834,6439.814602196174,15_2,2,103,p1,piepen,c2
