time_ms,confidence_movement,smoothed_confidence,anno_values
0,0.0,0.0,no movement
1,0.0,2.2183888244005296e-05,no movement
2,0.0,4.40758832216421e-05,no movement
3,0.0,6.56817083302902e-05,no movement
4,0.0,8.700693830765714e-05,no movement
5,0.0,0.0001080570040272,no movement
6,0.0,0.0001288371971094,no movement
7,0.0,0.0001493526743561,no movement
8,0.0,0.0001696084620174,no movement
9,0.0,0.0001896094598968,no movement
10,0.0,0.0002093604453028,no movement
11,0.0,0.0002288660768527,no movement
12,0.0,0.0002481308981366,no movement
13,0.0,0.0002671593412452,no movement
14,0.0,0.0002859557301696,no movement
15,0.0,0.0003045242840768,no movement
16,0.0,0.0003228691204669,no movement
17,0.0,0.0003409942582177,no movement
18,0.0,0.000358903620519,no movement
19,0.0,0.0003769853734996,no movement
20,0.0,0.0003948543999745,no movement
21,0.0,0.0004125144319877,no movement
22,0.0,0.0004299691147914,no movement
23,0.0,0.0004481479483607,no movement
24,0.0,0.00046611782982,no movement
25,0.0,0.0004838823412054,no movement
26,0.0,0.0005014449831433,no movement
27,0.0,0.0005188091771497,no movement
28,0.0,0.0005359782678526,no movement
29,0.0,0.0005529555251399,no movement
30,0.0,0.0005697441462351,no movement
31,0.0,0.0005863472577049,no movement
32,0.0,0.0006027679174003,no movement
33,0.0,0.000619009116334,no movement
34,0.0,0.0006350737804968,no movement
35,0.0,0.0006509647726145,no movement
36,0.0,0.0006666848938492,no movement
37,0.0,0.000682236885445,no movement
38,0.0,0.0006976234303218,no movement
39,0.0,0.0007128471546178,no movement
40,0.0,0.0007279106291844,no movement
41,0.0,0.0007428163710331,no movement
42,0.0,0.0007575668447374,no movement
43,0.0,0.0007708947972144,no movement
44,0.0,0.0007840853481194,no movement
45,0.0,0.0007971406113229,no movement
46,0.0,0.0008100626575549,no movement
47,0.0,0.0008230816504413,no movement
48,0.0,0.0008359691383491,no movement
49,0.0,0.0008487271037653,no movement
50,0.0,0.0008613574895274,no movement
51,0.0,0.0008738621998092,no movement
52,0.0,0.0008862431010784,no movement
53,0.0,0.0008985020230247,no movement
54,0.0,0.0009106407594617,no movement
55,0.0,0.0009226610692018,no movement
56,0.0,0.0009345646769056,no movement
57,0.0,0.0009463532739069,no movement
58,0.0,0.000958028519014,no movement
59,0.0,0.0009695920392875,no movement
60,0.0,0.0009810454307965,no movement
61,0.0,0.0009923902593529,no movement
62,0.0,0.0010036280612247,no movement
63,0.0,0.0010147603438301,no movement
64,0.0,0.0010257885864112,no movement
65,0.0,0.0010367142406892,no movement
66,0.0,0.0010475387315016,no movement
67,0.0,0.0010565635504321,no movement
68,0.0,0.0010655055728586,no movement
69,0.0,0.0010743659329798,no movement
70,0.0,0.0010831457443727,no movement
71,0.0,0.0010911511306756,no movement
72,0.0,0.0010990843963811,no movement
73,0.0,0.0011069465117216,no movement
74,0.0,0.0011147384296037,no movement
75,0.0,0.0011224610859935,no movement
76,0.0,0.0011301154002913,no movement
77,0.0,0.0011377022756967,no movement
78,0.0,0.0011452225995634,no movement
79,0.0,0.0011526772437457,no movement
80,0.0,0.0011600670649351,no movement
81,0.0,0.0011673929049886,no movement
82,0.0,0.0011746555912486,no movement
83,0.0,0.001181855936854,no movement
84,0.0,0.001188994741044,no movement
85,0.0,0.0011960727894536,no movement
86,0.0,0.0012030908544021,no movement
87,0.0,0.0012100496951739,no movement
88,0.0,0.0012169500582921,no movement
89,0.0,0.0012237926777859,no movement
90,0.0,0.0012305782754505,no movement
91,0.0,0.0012359811382566,no movement
92,0.0,0.0012413393493039,no movement
93,0.0,0.0012466534598487,no movement
94,0.0,0.0012519240121104,no movement
95,0.0,0.0012558024974776,no movement
96,0.0,0.0012596494504434,no movement
97,0.0,0.0012634652539925,no movement
98,0.0,0.0012672502849324,no movement
99,0.0,0.0012710049140173,no movement
100,0.0,0.0012747295060695,no movement
101,0.0,0.0012784244200974,no movement
102,0.0,0.0012820900094107,no movement
103,0.0,0.0012857266217335,no movement
104,0.0,0.0012893345993136,no movement
105,0.0,0.0012929142790303,no movement
106,0.0,0.0012964659924992,no movement
107,0.0,0.0012999900661746,no movement
108,0.0,0.0013034868214493,no movement
109,0.0,0.0013069565747529,no movement
110,0.0,0.0013103996376464,no movement
111,0.0,0.0013138163169163,no movement
112,0.0,0.0013172069146649,no movement
113,0.0,0.0013205717284003,no movement
114,0.0,0.0013239110511225,no movement
115,0.0,0.0013264210880823,no movement
116,0.0,0.0013289122525837,no movement
117,0.0,0.0013313847566769,no movement
118,0.0,0.001333838809247,no movement
119,0.0,0.0013347082034092,no movement
120,0.0,0.0013355711576147,no movement
121,0.0,0.0013364277431544,no movement
122,0.0,0.001337278030271,no movement
123,0.0,0.001338122088178,no movement
124,0.0,0.0013389599850784,no movement
125,0.0,0.0013397917881832,no movement
126,0.0,0.0013406175637292,no movement
127,0.0,0.0013414373769969,no movement
128,0.0,0.0013422512923274,no movement
129,0.0,0.0013430593731394,no movement
130,0.0,0.0013438616819456,no movement
131,0.0,0.0013446582803689,no movement
132,0.0,0.0013454492291579,no movement
133,0.0,0.0013462345882029,no movement
134,0.0,0.0013470144165504,no movement
135,0.0,0.0013477887724182,no movement
136,0.0,0.00134855771321,no movement
137,0.0,0.0013493212955294,no movement
138,0.0,0.0013500795751938,no movement
139,0.0,0.0013503765381342,no movement
140,0.0,0.0013506714530543,no movement
141,0.0,0.0013509643410677,no movement
142,0.0,0.0013512552229988,no movement
143,0.0,0.0013507644460004,no movement
144,0.0,0.0013502770076211,no movement
145,0.0,0.0013497928739087,no movement
146,0.0,0.0013493120113701,no movement
147,0.0,0.001348834386963,no movement
148,0.0,0.0013483599680889,no movement
149,0.0,0.0013478887225852,no movement
150,0.0033497671248448,0.0013474206187182,no movement
151,0.0033497671248448,0.0013514454772598,no movement
152,0.0033497671248448,0.0013554703358013,no movement
153,0.0033497671248448,0.0013594951943429,no movement
154,0.0033497671248448,0.0013635200528845,no movement
155,0.0033497671248448,0.0013675449114261,no movement
156,0.0033497671248448,0.0013715697699677,no movement
157,0.0033497671248448,0.0013755946285093,no movement
158,0.0033497671248448,0.0013796194870509,no movement
159,0.0033497671248448,0.0013836443455925,no movement
160,0.0033497671248448,0.001387669204134,no movement
161,0.0033497671248448,0.0013916940626756,no movement
162,0.0033497671248448,0.0013957189212172,no movement
163,0.0033497671248448,0.0013994071967342,no movement
164,0.0033497671248448,0.0014030954722511,no movement
165,0.0033497671248448,0.0014067837477681,no movement
166,0.0033497671248448,0.001410472023285,no movement
167,0.0033497671248448,0.0014138070300376,no movement
168,0.0034147198742323,0.0014171420367902,no movement
169,0.0034147198742323,0.0014204770435428,no movement
170,0.0034147198742323,0.0014238120502954,no movement
171,0.0034147198742323,0.0014271470570479,no movement
172,0.0035749073222731,0.0014304820638005,no movement
173,0.0035749073222731,0.0014338170705531,no movement
174,0.0035749073222731,0.0014371520773057,no movement
175,0.0035749073222731,0.0014404870840582,no movement
176,0.0035749073222731,0.0014438220908108,no movement
177,0.0035749073222731,0.0014471570975634,no movement
178,0.0035749073222731,0.001450492104316,no movement
179,0.0035749073222731,0.0014538271110686,no movement
180,0.0035749073222731,0.0014571621178211,no movement
181,0.0035749073222731,0.0014604971245737,no movement
182,0.0035749073222731,0.0014638321313263,no movement
183,0.0035749073222731,0.0014671671380789,no movement
184,0.0035749073222731,0.0014705021448315,no movement
185,0.0035749073222731,0.001473837151584,no movement
186,0.0035749073222731,0.0014771721583366,no movement
187,0.0035749073222731,0.0014802291386923,no movement
188,0.0035749073222731,0.0014832861190481,no movement
189,0.0035749073222731,0.0014863430994038,no movement
190,0.0035749073222731,0.0014894000797596,no movement
191,0.0035749073222731,0.0014921763080465,no movement
192,0.0033298616727911,0.0014949525363334,no movement
193,0.0033298616727911,0.0014977287646203,no movement
194,0.0033298616727911,0.0015005049929072,no movement
195,0.0033298616727911,0.0015032812211942,no movement
196,0.00337480425618,0.0015060574494811,no movement
197,0.00337480425618,0.001508833677768,no movement
198,0.00337480425618,0.0015116099060549,no movement
199,0.00337480425618,0.0015143861343418,no movement
200,0.00337480425618,0.0015171623626288,no movement
201,0.00337480425618,0.0015199385909157,no movement
202,0.00337480425618,0.0015227148192026,no movement
203,0.00337480425618,0.0015254910474895,no movement
204,0.00337480425618,0.0015282672757765,no movement
205,0.00337480425618,0.0015310435040634,no movement
206,0.00337480425618,0.0015338197323503,no movement
207,0.00337480425618,0.0015365959606372,no movement
208,0.00337480425618,0.0015393721889241,no movement
209,0.00337480425618,0.0015421484172111,no movement
210,0.00337480425618,0.001544924645498,no movement
211,0.00337480425618,0.0015474385676091,no movement
212,0.00337480425618,0.0015499524897202,no movement
213,0.00337480425618,0.0015524664118313,no movement
214,0.00337480425618,0.0015549803339424,no movement
215,0.00337480425618,0.0015571754511488,no movement
216,0.0030059244394118,0.0015593705683551,no movement
217,0.0030059244394118,0.0015615656855615,no movement
218,0.0030059244394118,0.0015637608027679,no movement
219,0.0030059244394118,0.0015659559199742,no movement
220,0.0028523361173065,0.0015681510371806,no movement
221,0.0028523361173065,0.0015703461543869,no movement
222,0.0028523361173065,0.0015725412715933,no movement
223,0.0028523361173065,0.0015747363887997,no movement
224,0.0028523361173065,0.001576931506006,no movement
225,0.0028523361173065,0.0015791266232124,no movement
226,0.0028523361173065,0.0015813217404187,no movement
227,0.0028523361173065,0.0015835168576251,no movement
228,0.0028523361173065,0.0015857119748315,no movement
229,0.0028523361173065,0.0015879070920378,no movement
230,0.0028523361173065,0.0015901022092442,no movement
231,0.0028523361173065,0.0015922973264506,no movement
232,0.0028523361173065,0.0015944924436569,no movement
233,0.0028523361173065,0.0015966875608633,no movement
234,0.0028523361173065,0.0015988826780696,no movement
235,0.0028523361173065,0.0016008341497816,no movement
236,0.0028523361173065,0.0016027856214936,no movement
237,0.0028523361173065,0.0016047370932056,no movement
238,0.0028523361173065,0.0016066885649176,no movement
239,0.0028523361173065,0.0016083706662499,no movement
240,0.0025326682117046,0.0016100527675822,no movement
241,0.0025326682117046,0.0016117348689145,no movement
242,0.0025326682117046,0.0016134169702468,no movement
243,0.0025326682117046,0.0016150990715792,no movement
244,0.0022021529270704,0.0016167811729115,no movement
245,0.0022021529270704,0.0016184632742438,no movement
246,0.0022021529270704,0.0016201453755761,no movement
247,0.0022021529270704,0.0016218274769084,no movement
248,0.0022021529270704,0.0016235095782407,no movement
249,0.0022021529270704,0.001625191679573,no movement
250,0.0022021529270704,0.0016268737809053,no movement
251,0.0022021529270704,0.0016285558822376,no movement
252,0.0022021529270704,0.0016302379835699,no movement
253,0.0022021529270704,0.0016319200849022,no movement
254,0.0022021529270704,0.0016336021862345,no movement
255,0.0022021529270704,0.0016352842875668,no movement
256,0.0022021529270704,0.0016369663888991,no movement
257,0.0022021529270704,0.0016386484902314,no movement
258,0.0022021529270704,0.0016403305915637,no movement
259,0.0022021529270704,0.0016419611602597,no movement
260,0.0022021529270704,0.0016435917289557,no movement
261,0.0022021529270704,0.0016452222976517,no movement
262,0.0022021529270704,0.0016468528663477,no movement
263,0.0022021529270704,0.0016483055913631,no movement
264,0.0019890708454616,0.0016497583163785,no movement
265,0.0019890708454616,0.0016512110413939,no movement
266,0.0019890708454616,0.0016526637664093,no movement
267,0.0019890708454616,0.0016541164914247,no movement
268,0.0015677058388815,0.0016555692164401,no movement
269,0.0015677058388815,0.0016570219414555,no movement
270,0.0015677058388815,0.0016584746664709,no movement
271,0.0015677058388815,0.0016599273914863,no movement
272,0.0015677058388815,0.0016613801165017,no movement
273,0.0015677058388815,0.0016628328415171,no movement
274,0.0015677058388815,0.0016642855665325,no movement
275,0.0015677058388815,0.0016657382915479,no movement
276,0.0015677058388815,0.0016671910165633,no movement
277,0.0015677058388815,0.0016686437415787,no movement
278,0.0015677058388815,0.0016700964665941,no movement
279,0.0015677058388815,0.0016715491916095,no movement
280,0.0015677058388815,0.0016730019166249,no movement
281,0.0015677058388815,0.0016744546416403,no movement
282,0.0015677058388815,0.0016759073666557,no movement
283,0.0015677058388815,0.0016776424552234,no movement
284,0.0015677058388815,0.0016793775437912,no movement
285,0.0015677058388815,0.001681112632359,no movement
286,0.0015677058388815,0.0016828477209268,no movement
287,0.0015677058388815,0.0016845303629444,no movement
288,0.0014359018649535,0.001686213004962,no movement
289,0.0014359018649535,0.0016878956469796,no movement
290,0.0014359018649535,0.0016895782889972,no movement
291,0.0014359018649535,0.0016912609310149,no movement
292,0.0012074575624762,0.0016929435730325,no movement
293,0.0012074575624762,0.0016946262150501,no movement
294,0.0012074575624762,0.0016963088570677,no movement
295,0.0012074575624762,0.0016979914990853,no movement
296,0.0012074575624762,0.001699674141103,no movement
297,0.0012074575624762,0.0017013567831206,no movement
298,0.0012074575624762,0.0017030394251382,no movement
299,0.0012074575624762,0.0017047220671558,no movement
300,0.0012074575624762,0.0017064047091735,no movement
301,0.0012074575624762,0.0016969214607749,no movement
302,0.0012074575624762,0.0016874382123764,no movement
303,0.0012074575624762,0.0016779549639779,no movement
304,0.0012074575624762,0.0016684717155793,no movement
305,0.0012074575624762,0.0016589884671808,no movement
306,0.0012074575624762,0.0016495052187823,no movement
307,0.0012074575624762,0.0016408481779926,no movement
308,0.0012074575624762,0.0016321911372029,no movement
309,0.0012074575624762,0.0016235340964133,no movement
310,0.0012074575624762,0.0016148770556236,no movement
311,0.0012074575624762,0.0016064810528886,no movement
312,0.0011064826550867,0.0015980850501536,no movement
313,0.0011064826550867,0.0015896890474185,no movement
314,0.0011064826550867,0.0015812930446835,no movement
315,0.0011064826550867,0.0015728970419485,no movement
316,0.0010005020257736,0.0015645010392135,no movement
317,0.0010005020257736,0.0015561050364785,no movement
318,0.0010005020257736,0.0015477090337435,no movement
319,0.0010005020257736,0.0015390965218438,no movement
320,0.0010005020257736,0.0015304840099442,no movement
321,0.0010005020257736,0.0015218714980445,no movement
