TrialID,effort_category,modality_specific_effort_category,COP_tertile,arm_tertile,envelope_tertile
10_2_102_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
10_2_10_p0,High Effort,Medium Effort,2nd,2nd,3rd
10_2_13_p0,Medium Effort,Low Effort,1st,2nd,1st
10_2_21_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
10_2_24_p1,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_27_p1,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_30_p1,Medium Effort,Low Effort,2nd,1st,1st
10_2_33_p1,High Effort,High Effort,3rd,3rd,3rd
10_2_38_p0,Medium Effort,Low Effort,1st,2nd,2nd
10_2_44_p0,Medium Effort,Low Effort,1st,2nd,2nd
10_2_46_p0,High Effort,Medium Effort,2nd,2nd,3rd
10_2_4_p0,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_53_p1,High Effort,High Effort,3rd,3rd,3rd
10_2_56_p1,High Effort,Medium Effort,3rd,1st,3rd
10_2_66_p0,Medium Effort,Low Effort,1st,1st,2nd
10_2_69_p0,Medium Effort,Medium Effort,1st,2nd,3rd
10_2_72_p0,Medium Effort,Medium Effort,1st,2nd,3rd
10_2_75_p0,Medium Effort,Medium Effort,1st,1st,3rd
10_2_78_p0,Medium Effort,Medium Effort,2nd,1st,3rd
10_2_81_p0,Medium Effort,Medium Effort,1st,1st,3rd
10_2_8_p0,Medium Effort,Medium Effort,2nd,2nd,1st
10_2_90_p1,Medium Effort,Medium Effort,2nd,1st,2nd
10_2_94_p1,High Effort,High Effort,3rd,2nd,3rd
10_2_96_p1,Medium Effort,Low Effort,2nd,1st,1st
10_2_99_p1,Medium Effort,Medium Effort,1st,1st,3rd
11_2_102_p1,High Effort,Medium Effort,3rd,2nd,2nd
11_2_105_p1,Medium Effort,Low Effort,2nd,1st,2nd
11_2_109_p1,High Effort,High Effort,3rd,3rd,1st
11_2_12_p0,Medium Effort,Medium Effort,2nd,1st,3rd
11_2_15_p0,Low Effort,Low Effort,1st,1st,1st
11_2_24_p1,Medium Effort,Medium Effort,2nd,1st,2nd
11_2_28_p1,Low Effort,Low Effort,1st,1st,1st
11_2_31_p1,Medium Effort,Low Effort,1st,1st,2nd
11_2_34_p1,Medium Effort,Medium Effort,2nd,1st,3rd
11_2_37_p1,Medium Effort,Medium Effort,2nd,1st,2nd
11_2_3_p0,Low Effort,Low Effort,1st,1st,1st
11_2_44_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_47_p0,High Effort,Medium Effort,2nd,3rd,2nd
11_2_52_p0,Medium Effort,Low Effort,1st,1st,3rd
11_2_61_p1,High Effort,Medium Effort,2nd,2nd,3rd
11_2_64_p1,Medium Effort,Medium Effort,2nd,2nd,2nd
11_2_6_p0,Medium Effort,Low Effort,1st,1st,2nd
11_2_71_p1,Low Effort,Low Effort,1st,1st,1st
11_2_75_p0,Medium Effort,Medium Effort,2nd,2nd,1st
11_2_78_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_81_p0,Medium Effort,Low Effort,2nd,1st,1st
11_2_85_p0,Low Effort,Low Effort,1st,1st,1st
11_2_88_p0,Low Effort,Low Effort,1st,1st,1st
11_2_98_p1,Low Effort,Low Effort,1st,1st,1st
11_2_9_p0,Medium Effort,Medium Effort,2nd,1st,2nd
12_2_102_p1,Medium Effort,Low Effort,3rd,1st,1st
12_2_105_p1,High Effort,High Effort,3rd,3rd,3rd
12_2_108_p1,Medium Effort,Medium Effort,2nd,3rd,1st
12_2_10_p0,Low Effort,Low Effort,1st,1st,1st
